artist,track_name,arousal,valence,tempo,rms_mean,rms_std,centroid_mean,rolloff_mean,zcr_mean,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,mood_id,mood
Miles Davis,So What,0.4418016002217027,0.6053045007155883,69.83741554054055,0.06460526585578918,0.031927477568387985,0.11684904130828114,0.24245707531519572,0.11343385814117452,-177.9295654296875,70.32486724853516,-2.7763688564300537,26.6534366607666,4.517312526702881,0.6123133301734924,0.2552278935909271,2.0847585201263428,-7.514546871185303,4.080374717712402,0.5277726650238037,6.4362311363220215,3.9523894786834717,49.15839385986328,22.71466827392578,19.95953369140625,12.532388687133789,8.760454177856445,8.152710914611816,9.309597969055176,9.148242950439453,8.254875183105469,7.298152923583984,7.210020065307617,8.313398361206055,8.897880554199219,0.39454758167266846,0.3203376531600952,0.395444393157959,0.3195534348487854,0.31849363446235657,0.3017667233943939,0.22816792130470276,0.2015901654958725,0.21551530063152313,0.2832847833633423,0.2443140298128128,0.2761217951774597,18.13471106405228,16.7276864496826,21.54092481625064,21.084747080207244,21.51574110289572,21.52619487869693,49.482060011369576,0,blue
Norah Jones,Come Away with Me,0.4870245224817352,0.6143818359807854,80.74951171875,0.10791024565696716,0.06403981149196625,0.09021223911663943,0.19738330021414052,0.0652845074767712,-182.02664184570312,102.73287963867188,25.150243759155273,26.34221649169922,9.729263305664062,3.0958404541015625,1.0413751602172852,-0.684683620929718,-4.659496307373047,-2.329552173614502,-4.894296646118164,-2.0472400188446045,0.6734797954559326,48.955177307128906,30.354135513305664,26.128952026367188,19.027986526489258,12.171855926513672,15.496718406677246,11.410604476928711,10.133708953857422,9.991474151611328,9.527608871459961,8.355663299560547,8.436277389526367,9.212721824645996,0.4885448217391968,0.27352532744407654,0.2616889476776123,0.23075661063194275,0.3009016215801239,0.1878155618906021,0.21499566733837128,0.4262068271636963,0.2008969634771347,0.17117619514465332,0.16777703166007996,0.3107472062110901,18.787785555255294,19.78278125197378,22.175021589005976,20.406115156761835,18.543314980052415,16.950585888643943,47.159701454866855,1,calm
Nick Drake,Pink Moon,0.4700862638145252,0.6366293226380462,117.45383522727273,0.09064087271690369,0.03129864111542702,0.06546094314433427,0.14027926708877994,0.04707889376815541,-188.05799865722656,126.67801666259766,8.245954513549805,31.349369049072266,2.859856605529785,9.129352569580078,-3.3767502307891846,6.469320297241211,3.2879505157470703,1.7736917734146118,-10.123493194580078,4.158502578735352,-11.779668807983398,60.14145278930664,27.44788932800293,13.917211532592773,9.262225151062012,7.498539924621582,7.242642402648926,6.5687737464904785,8.150715827941895,8.010350227355957,7.687620639801025,7.504817485809326,7.865660190582275,8.01358413696289,0.34334421157836914,0.21893607079982758,0.30418750643730164,0.6595519781112671,0.4321683645248413,0.43857160210609436,0.29161226749420166,0.3453565835952759,0.2863423228263855,0.23859938979148865,0.406676709651947,0.30333688855171204,22.694728217048944,17.091935203910854,19.56008738917327,20.060103676865154,20.682614960175417,20.58950002511531,51.37586068221995,1,calm
Brian Eno,Music for Airports,0.3885358554172768,0.6097801076967249,117.45383522727273,0.03812252730131149,0.02447059564292431,0.09888811433740452,0.23574145185969866,0.07030207842906466,-300.90185546875,85.75750732421875,5.267629146575928,-12.515080451965332,-24.3150691986084,2.622979164123535,12.714508056640625,0.1582472026348114,-23.991928100585938,7.156282901763916,-1.763756513595581,-0.4128720164299011,-21.400211334228516,72.18746948242188,17.416034698486328,12.212577819824219,8.922737121582031,7.471858024597168,8.233749389648438,6.515289783477783,5.3079047203063965,6.977534770965576,5.2744293212890625,7.001283645629883,7.119678020477295,6.881961345672607,0.28338658809661865,0.1731516420841217,0.09965512156486511,0.3267941474914551,0.1948665976524353,0.3186083436012268,0.11664072424173355,0.1461772322654724,0.4691682755947113,0.16588398814201355,0.05254285782575607,0.07294445484876633,17.795117799988237,23.0276288927349,25.82979183323196,23.29650793400784,21.652055400765676,17.86824264364128,50.09404649295812,0,blue
Mazzy Star,Fade Into You,0.688814337944094,0.6103494564173946,161.4990234375,0.1437947005033493,0.041092026978731155,0.09393958412685517,0.23268213248777506,0.06214721978147922,-116.0165786743164,101.73236083984375,15.809779167175293,28.0093936920166,21.333261489868164,9.125141143798828,4.5537567138671875,7.601853847503662,-4.356033802032471,5.022137641906738,0.8374713659286499,4.548016548156738,-1.0183427333831787,36.7826042175293,19.897682189941406,15.168891906738281,9.991988182067871,8.88475227355957,9.628987312316895,7.880242824554443,7.507817268371582,9.097514152526855,6.88059663772583,6.870776653289795,7.057761192321777,5.74641752243042,0.3069334924221039,0.2775903642177582,0.2930218279361725,0.30487409234046936,0.3931511342525482,0.2556821405887604,0.3851523995399475,0.34306687116622925,0.5373525619506836,0.5131754279136658,0.3867972195148468,0.40027475357055664,18.649360211538422,15.756933570362564,18.943487091458156,17.98805534084506,18.484082405883616,20.97796766747254,50.71821052342452,4,energetic
Elliott Smith,Between the Bars,0.5506053434187599,0.6259114431349236,135.99917763157896,0.12021747976541519,0.04484828561544418,0.057543395582233356,0.11358807963709677,0.03662707913306452,-213.60797119140625,127.62554168701172,16.311874389648438,29.755802154541016,16.468181610107422,21.116470336914062,5.907475471496582,11.077371597290039,-3.602815866470337,-3.0220210552215576,-14.786722183227539,4.8920416831970215,-2.8499691486358643,52.36798095703125,31.65281867980957,17.969877243041992,14.784893989562988,10.74956226348877,9.920388221740723,8.850436210632324,8.461913108825684,7.8277201652526855,10.297011375427246,6.856775760650635,7.222494602203369,8.013163566589355,0.1561117321252823,0.20020487904548645,0.4046146869659424,0.4261495769023895,0.33978787064552307,0.29074448347091675,0.3301321566104889,0.3989029824733734,0.28772225975990295,0.3000364303588867,0.35553836822509766,0.1807529330253601,21.730956045379116,19.854899178233254,22.027835371886212,20.249626444063853,19.96160305893048,18.88930784913171,49.664061166568274,1,calm
Sufjan Stevens,Death With Dignity,0.4122445976139764,0.6147417785502163,112.34714673913044,0.05284655839204788,0.02570449188351631,0.06952649863500808,0.12826329385080645,0.07466796875,-259.5391845703125,132.25010681152344,-16.73707389831543,21.295368194580078,-5.051366329193115,0.4875764846801758,-19.4388427734375,-9.220527648925781,-16.885414123535156,-14.654574394226074,-12.604439735412598,-14.174964904785156,-11.934319496154785,91.65956115722656,40.28361129760742,24.904775619506836,15.321268081665039,12.705265045166016,11.022836685180664,11.105114936828613,9.694682121276855,9.222535133361816,9.988932609558105,9.59469985961914,9.502570152282715,9.23982048034668,0.19969220459461212,0.3325304090976715,0.11552166193723679,0.21899248659610748,0.43736037611961365,0.24473871290683746,0.3361881673336029,0.23411329090595245,0.3122975528240204,0.2618817389011383,0.21603435277938843,0.37063634395599365,18.78620579478199,16.454529711812327,22.21307144082271,21.00268561398369,20.04934344467429,18.929986748974596,50.13666994027836,1,calm
Bon Iver,Skinny Love,0.471924041863402,0.6105764773497584,75.99954044117646,0.08783227950334549,0.06115527078509331,0.09432128734926672,0.19386320867203052,0.09351476961678833,-174.34228515625,95.40792846679688,-4.361105918884277,15.633971214294434,-0.07620188593864441,3.648233413696289,-2.685924768447876,-3.2528367042541504,-13.946293830871582,2.1796131134033203,-4.747396469116211,-7.417385101318359,-9.9750337600708,112.32417297363281,26.029327392578125,22.78519630432129,14.726871490478516,14.714810371398926,8.727961540222168,10.353137016296387,9.689787864685059,9.350106239318848,8.351665496826172,10.151191711425781,8.184452056884766,7.8581976890563965,0.45926135778427124,0.2660920023918152,0.32403817772865295,0.32397398352622986,0.5508092641830444,0.373571515083313,0.2974165678024292,0.3434736132621765,0.17527681589126587,0.22593484818935394,0.17385634779930115,0.3412066102027893,18.804845861386074,16.977145366676446,20.610785051723024,19.673869887133158,20.128329844614846,20.31677687009752,49.488367242625465,0,blue
Billie Holiday,Strange Fruit,0.44998654041979624,0.6327028723369139,135.99917763157896,0.05693414434790611,0.03870667517185211,0.06362318600067148,0.11098806565450255,0.07054086102033406,-301.1148681640625,141.77757263183594,5.285221099853516,33.64186477661133,3.3345518112182617,-7.527828693389893,-2.962904930114746,-3.0355944633483887,-11.495016098022461,0.7487349510192871,-6.920729160308838,-12.917313575744629,-8.228137016296387,86.66082000732422,45.16455841064453,43.09061050415039,24.1440486907959,14.655768394470215,20.314165115356445,11.808968544006348,13.22733211517334,12.991896629333496,11.655396461486816,9.728621482849121,10.208731651306152,9.894887924194336,0.2707209289073944,0.2828361690044403,0.425479531288147,0.35480666160583496,0.17492146790027618,0.19433557987213135,0.23473890125751495,0.4161141514778137,0.4351199269294739,0.2667604088783264,0.19714047014713287,0.21049368381500244,22.515057296351163,17.922232961755775,22.407780629284918,21.525387849849793,20.568984194024328,21.018963725891705,47.719719848550625,1,calm
Johnny Cash,Hurt,0.501818607311371,0.621271248584595,92.28515625,0.11584353446960449,0.07376103848218918,0.06213233632283005,0.12121490524269116,0.055837193707833584,-186.2690887451172,142.86366271972656,-6.9088006019592285,25.081878662109375,6.623558044433594,3.8663840293884277,0.20896433293819427,-0.832526683807373,-14.281129837036133,-7.158012866973877,-3.9035043716430664,-6.313222408294678,-4.8456950187683105,93.58621215820312,31.285436630249023,24.22418975830078,16.68769645690918,14.94295597076416,14.531180381774902,10.562674522399902,9.325906753540039,11.642204284667969,9.387738227844238,9.943865776062012,9.857852935791016,7.333302974700928,0.36700743436813354,0.25352758169174194,0.28779757022857666,0.23432284593582153,0.351362407207489,0.22183190286159515,0.22471217811107635,0.38662034273147583,0.3707689046859741,0.5259955525398254,0.35719501972198486,0.37160724401474,21.22523273121976,18.380326348874586,22.40477324853071,19.841517917165433,20.55830436233936,21.045907814077456,49.018002322518626,1,calm
